dataset,client_id,matrix_type,neighbor_type,mean_js_to_global
NSLKDD,17,label_affinity,random_n,0.5705749990127991
NSLKDD,18,label_affinity,topn,0.39836643387448606
NSLKDD,18,label_affinity,random_n,0.5065063216749665
NSLKDD,19,label_affinity,topn,0.5432880126276419
NSLKDD,19,label_affinity,random_n,0.5711850718865393
NSLKDD,20,label_affinity,topn,0.6256444795000285
NSLKDD,20,label_affinity,random_n,0.5648933809065145
NSLKDD,21,label_affinity,topn,0.5029931422809838
NSLKDD,21,label_affinity,random_n,0.45433876820257924
NSLKDD,22,label_affinity,topn,0.3999748644614019
NSLKDD,22,label_affinity,random_n,0.5252676713073193
NSLKDD,23,label_affinity,topn,0.5581532898556064
NSLKDD,23,label_affinity,random_n,0.5157019799936114
NSLKDD,24,label_affinity,topn,0.6586493998632245
NSLKDD,24,label_affinity,random_n,0.5059563815562935
NSLKDD,25,label_affinity,topn,0.4067221392425268
NSLKDD,25,label_affinity,random_n,0.6047917476019071
NSLKDD,26,label_affinity,topn,0.553229088013488
NSLKDD,26,label_affinity,random_n,0.6071763143515415
NSLKDD,27,label_affinity,topn,0.42582213464626667
NSLKDD,27,label_affinity,random_n,0.4941294584505243
NSLKDD,28,label_affinity,topn,0.6186224536307307
NSLKDD,28,label_affinity,random_n,0.5566265606794097
NSLKDD,29,label_affinity,topn,0.6231389064726061
NSLKDD,29,label_affinity,random_n,0.38734234594976186
NSLKDD,30,label_affinity,topn,0.6487083244773784
NSLKDD,30,label_affinity,random_n,0.43758278234911735
NSLKDD,31,label_affinity,topn,0.42765880073715096
NSLKDD,31,label_affinity,random_n,0.4373696145061687
NSLKDD,32,label_affinity,topn,0.42923786459602287
NSLKDD,32,label_affinity,random_n,0.5029931422809838
NSLKDD,33,label_affinity,topn,0.3927180930399297
NSLKDD,33,label_affinity,random_n,0.6408481669966775
NSLKDD,34,label_affinity,topn,0.4233704382508274
NSLKDD,34,label_affinity,random_n,0.5059955470422375
NSLKDD,35,label_affinity,topn,0.4915337333667667
NSLKDD,35,label_affinity,random_n,0.5291248251984147
NSLKDD,36,label_affinity,topn,0.4661652436291775
NSLKDD,36,label_affinity,random_n,0.5628681537886707
NSLKDD,37,label_affinity,topn,0.5471926607938621
NSLKDD,37,label_affinity,random_n,0.6687362976734111
NSLKDD,38,label_affinity,topn,0.4192725774559678
NSLKDD,38,label_affinity,random_n,0.5809585344977759
NSLKDD,39,label_affinity,topn,0.6746311109055348
NSLKDD,39,label_affinity,random_n,0.42556151133018466
NSLKDD,40,label_affinity,topn,0.48921242835559964
NSLKDD,40,label_affinity,random_n,0.6583084260363088
NSLKDD,41,label_affinity,topn,0.4745926365777618
NSLKDD,41,label_affinity,random_n,0.5758307705187721
NSLKDD,42,label_affinity,topn,0.5888983909946175
NSLKDD,42,label_affinity,random_n,0.4565723144473042
NSLKDD,43,label_affinity,topn,0.44574921424943725
NSLKDD,43,label_affinity,random_n,0.5098203266951535
NSLKDD,44,label_affinity,topn,0.5549946744373521
NSLKDD,44,label_affinity,random_n,0.5080547402712895
NSLKDD,45,label_affinity,topn,0.5029564348884601
NSLKDD,45,label_affinity,random_n,0.5025064322044298
NSLKDD,46,label_affinity,topn,0.42714396351081496
NSLKDD,46,label_affinity,random_n,0.571515656540157
NSLKDD,47,label_affinity,topn,0.44865206366497395
NSLKDD,47,label_affinity,random_n,0.5788019831586618
NSLKDD,48,label_affinity,topn,0.37187880805965073
NSLKDD,48,label_affinity,random_n,0.48582011437472866
NSLKDD,49,label_affinity,topn,0.6333759526750197
NSLKDD,49,label_affinity,random_n,0.66483248219618
NSLKDD,0,random,topn,0.5537078653576576
NSLKDD,0,random,random_n,0.4178748793294959
NSLKDD,1,random,topn,0.59554674661244
NSLKDD,1,random,random_n,0.6056165063039958
NSLKDD,2,random,topn,0.46284302551801276
NSLKDD,2,random,random_n,0.4284699810440545
NSLKDD,3,random,topn,0.5711494385814113
NSLKDD,3,random,random_n,0.6365442479396349
NSLKDD,4,random,topn,0.4594513322507372
NSLKDD,4,random,random_n,0.6474693286816553
NSLKDD,5,random,topn,0.6786773730592571
NSLKDD,5,random,random_n,0.4690891641437565
NSLKDD,6,random,topn,0.43550728260505295
NSLKDD,6,random,random_n,0.5361239524346203
NSLKDD,7,random,topn,0.5986215831590556
NSLKDD,7,random,random_n,0.5479187382295367
NSLKDD,8,random,topn,0.557162246142644
NSLKDD,8,random,random_n,0.5342093634662416
NSLKDD,9,random,topn,0.4326986467681717
NSLKDD,9,random,random_n,0.5360306988954667
NSLKDD,10,random,topn,0.5585575605538603
NSLKDD,10,random,random_n,0.6731529746815038
NSLKDD,11,random,topn,0.4512062488296733
NSLKDD,11,random,random_n,0.48236923463229875
NSLKDD,12,random,topn,0.5698280383401721
NSLKDD,12,random,random_n,0.42884470997501833
NSLKDD,13,random,topn,0.49944458405030256
NSLKDD,13,random,random_n,0.6556204279606305
NSLKDD,14,random,topn,0.5912027714932563
NSLKDD,14,random,random_n,0.5099666836429223
NSLKDD,15,random,topn,0.5048548367015326
NSLKDD,15,random,random_n,0.4739455992067922
NSLKDD,16,random,topn,0.38279517272560953
NSLKDD,16,random,random_n,0.5567843310099329
NSLKDD,17,random,topn,0.5717464802622265
NSLKDD,17,random,random_n,0.545053599051506
NSLKDD,18,random,topn,0.5231360732920859
NSLKDD,18,random,random_n,0.4357036062130151
NSLKDD,19,random,topn,0.5851604101425308
NSLKDD,19,random,random_n,0.429820584798245
NSLKDD,20,random,topn,0.4924496609053624
NSLKDD,20,random,random_n,0.4102291395278259
