dataset,client_id,matrix_type,neighbor_type,mean_entropy
UNSW,45,random,topn,1.2748531547739748
UNSW,45,random,random_n,1.1204625325798723
UNSW,46,random,topn,0.5066155696924327
UNSW,46,random,random_n,1.1631332598259332
UNSW,47,random,topn,1.1937664151084748
UNSW,47,random,random_n,1.0340003753802627
UNSW,48,random,topn,0.4227487719711526
UNSW,48,random,random_n,0.9091126674023262
UNSW,49,random,topn,1.2139442840493695
UNSW,49,random,random_n,1.368902146076806
UNSW,0,label_affinity,topn,0.7411756017175405
UNSW,0,label_affinity,random_n,0.9921928969797488
UNSW,1,label_affinity,topn,0.24032353710849455
UNSW,1,label_affinity,random_n,1.3746141568112054
UNSW,2,label_affinity,topn,1.0681124742314128
UNSW,2,label_affinity,random_n,1.1242550040023371
UNSW,3,label_affinity,topn,0.6816494836817805
UNSW,3,label_affinity,random_n,0.4643946696398827
UNSW,4,label_affinity,topn,0.7328959922573276
UNSW,4,label_affinity,random_n,0.7522998814146186
UNSW,5,label_affinity,topn,0.8640695236760765
UNSW,5,label_affinity,random_n,0.8303662005155993
UNSW,6,label_affinity,topn,0.9950668670926587
UNSW,6,label_affinity,random_n,0.7428368885620689
UNSW,7,label_affinity,topn,0.44719167240348523
UNSW,7,label_affinity,random_n,0.8526010552545573
UNSW,8,label_affinity,topn,1.032437905721497
UNSW,8,label_affinity,random_n,1.1240425573872692
UNSW,9,label_affinity,topn,0.5286285865080508
UNSW,9,label_affinity,random_n,1.2418864996843755
UNSW,10,label_affinity,topn,1.275166530804161
UNSW,10,label_affinity,random_n,0.6580961689916796
UNSW,11,label_affinity,topn,0.7972412423692194
UNSW,11,label_affinity,random_n,0.38240040564711664
UNSW,12,label_affinity,topn,0.9702854047478618
UNSW,12,label_affinity,random_n,1.0611004540150855
UNSW,13,label_affinity,topn,0.0
UNSW,13,label_affinity,random_n,0.9240918520903635
UNSW,14,label_affinity,topn,1.3973988562031092
UNSW,14,label_affinity,random_n,0.841030329380328
UNSW,15,label_affinity,topn,1.343109171081119
UNSW,15,label_affinity,random_n,1.246959120630285
UNSW,16,label_affinity,topn,0.0
UNSW,16,label_affinity,random_n,0.7310125167161677
UNSW,17,label_affinity,topn,0.5286285865080508
UNSW,17,label_affinity,random_n,1.163611437140246
UNSW,18,label_affinity,topn,1.2672911520883503
UNSW,18,label_affinity,random_n,0.9602538140899367
UNSW,19,label_affinity,topn,0.0
UNSW,19,label_affinity,random_n,0.3700051072469082
UNSW,20,label_affinity,topn,1.0566177542519581
UNSW,20,label_affinity,random_n,1.0808745122064003
UNSW,21,label_affinity,topn,1.200153970972893
UNSW,21,label_affinity,random_n,0.5463038976090543
UNSW,22,label_affinity,topn,0.8578675541269657
UNSW,22,label_affinity,random_n,1.1145538335097782
UNSW,23,label_affinity,topn,1.5097027688704872
UNSW,23,label_affinity,random_n,0.6225552525676261
UNSW,24,label_affinity,topn,1.0088075977890842
UNSW,24,label_affinity,random_n,0.9479837211203647
UNSW,25,label_affinity,topn,0.8991567376496024
UNSW,25,label_affinity,random_n,0.8094749663325125
UNSW,26,label_affinity,topn,1.440501067652043
UNSW,26,label_affinity,random_n,0.9803908664745137
UNSW,27,label_affinity,topn,0.7858830524371084
UNSW,27,label_affinity,random_n,0.5193424204694667
UNSW,28,label_affinity,topn,1.2881155199368177
UNSW,28,label_affinity,random_n,1.450244924472564
UNSW,29,label_affinity,topn,0.24032353710849455
UNSW,29,label_affinity,random_n,0.5956264174942861
UNSW,30,label_affinity,topn,0.7972412423692194
UNSW,30,label_affinity,random_n,0.9999495478037304
UNSW,31,label_affinity,topn,1.1016239817278135
UNSW,31,label_affinity,random_n,0.49566825042433926
UNSW,32,label_affinity,topn,1.3280048956344548
UNSW,32,label_affinity,random_n,0.8204479789596143
UNSW,33,label_affinity,topn,0.9102526851144922
UNSW,33,label_affinity,random_n,1.0573679321764262
UNSW,34,label_affinity,topn,0.964232467832281
UNSW,34,label_affinity,random_n,1.1929335117150088
UNSW,35,label_affinity,topn,0.9515380655207424
UNSW,35,label_affinity,random_n,0.9569819025791485
UNSW,36,label_affinity,topn,1.354325246377334
UNSW,36,label_affinity,random_n,1.0356914189190134
UNSW,37,label_affinity,topn,0.8996275023321906
UNSW,37,label_affinity,random_n,0.9377970468300951
UNSW,38,label_affinity,topn,1.2337289188287153
UNSW,38,label_affinity,random_n,1.1155675456498069
UNSW,39,label_affinity,topn,1.306811463373615
UNSW,39,label_affinity,random_n,0.6605063796924947
UNSW,40,label_affinity,topn,0.9493009005540888
UNSW,40,label_affinity,random_n,1.2247480642359554
UNSW,41,label_affinity,topn,0.20742003187961158
UNSW,41,label_affinity,random_n,0.6449185143179738
UNSW,42,label_affinity,topn,0.20686813529499068
UNSW,42,label_affinity,random_n,0.8691963573321891
UNSW,43,label_affinity,topn,0.44774356898810613
UNSW,43,label_affinity,random_n,0.7779043185150206
UNSW,44,label_affinity,topn,1.0143484461964907
UNSW,44,label_affinity,random_n,1.1609205700849523
UNSW,45,label_affinity,topn,0.25752653434489203
UNSW,45,label_affinity,random_n,1.0251485470404575
UNSW,46,label_affinity,topn,1.260280404860189
UNSW,46,label_affinity,random_n,0.9923997258487467
UNSW,47,label_affinity,topn,1.0465922311413463
UNSW,47,label_affinity,random_n,1.2659641882732195
UNSW,48,label_affinity,topn,0.5286285865080508
UNSW,48,label_affinity,random_n,0.9999495478037304
UNSW,49,label_affinity,topn,1.1641509285332408
UNSW,49,label_affinity,random_n,1.2575767221796328
UNSW,0,random,topn,0.8461603348221648
UNSW,0,random,random_n,0.6526891986004593
UNSW,1,random,topn,0.7490648329999218
UNSW,1,random,random_n,1.0038836148598906
UNSW,2,random,topn,1.0632275869363903
UNSW,2,random,random_n,1.1632633081499273
UNSW,3,random,topn,0.7385014774125306
UNSW,3,random,random_n,1.058079574904612
UNSW,4,random,topn,0.6583157254675075
UNSW,4,random,random_n,0.9778302777561677
UNSW,5,random,topn,0.9408278474851252
UNSW,5,random,random_n,1.2214390864522258
UNSW,6,random,topn,0.334560487400164
UNSW,6,random,random_n,0.9799880395080415
UNSW,7,random,topn,0.7068842802644925
UNSW,7,random,random_n,1.1148069277643886
UNSW,8,random,topn,0.9601802112351736
UNSW,8,random,random_n,0.8902761851701992
UNSW,9,random,topn,1.3441078494328575
UNSW,9,random,random_n,1.1001728948338263
UNSW,10,random,topn,0.9585839642049558
UNSW,10,random,random_n,0.46700574571004144
UNSW,11,random,topn,0.5001389885080338
UNSW,11,random,random_n,1.1187050830398124
UNSW,12,random,topn,0.7893612580394184
UNSW,12,random,random_n,0.9125046499999986
UNSW,13,random,topn,1.2994505757246744
UNSW,13,random,random_n,0.9030026939895125
UNSW,14,random,topn,1.056777463917008
UNSW,14,random,random_n,0.8710004180554606
UNSW,15,random,topn,1.262203301983979
UNSW,15,random,random_n,0.917586772230279
UNSW,16,random,topn,0.5964419362971197
UNSW,16,random,random_n,1.1754359684857005
UNSW,17,random,topn,1.0333519609468296
UNSW,17,random,random_n,0.41304908981891747
UNSW,18,random,topn,0.9049771467822755
UNSW,18,random,random_n,1.0995569173977475
UNSW,19,random,topn,0.9095573831470606
UNSW,19,random,random_n,0.6472661094979782
UNSW,20,random,topn,1.4349438221535957
UNSW,20,random,random_n,0.856240092902218
UNSW,21,random,topn,0.9102526851144922
UNSW,21,random,random_n,1.1372862395466339
UNSW,22,random,topn,1.4657477039085494
UNSW,22,random,random_n,1.223432224223106
UNSW,23,random,topn,1.0136812032922125
UNSW,23,random,random_n,0.39518679915791016
UNSW,24,random,topn,1.0686995580139875
UNSW,24,random,random_n,0.780321998130488
UNSW,25,random,topn,0.9888384343563269
UNSW,25,random,random_n,0.4032568576801079
UNSW,26,random,topn,0.7045373429672658
UNSW,26,random,random_n,1.1288325836589026
UNSW,27,random,topn,0.25981545139953927
UNSW,27,random,random_n,1.4525442592761637
UNSW,28,random,topn,0.9245863760596779
UNSW,28,random,random_n,0.995583622517546
UNSW,29,random,topn,1.1055158581764064
UNSW,29,random,random_n,1.0756158000050278
UNSW,30,random,topn,0.9916242228177939
UNSW,30,random,random_n,0.6928833593853012
UNSW,31,random,topn,0.8159710998717276
UNSW,31,random,random_n,0.651405431983436
UNSW,32,random,topn,1.0235248970394724
UNSW,32,random,random_n,1.225368989480341
UNSW,33,random,topn,1.1856577255451037
UNSW,33,random,random_n,1.0640720780031354
UNSW,34,random,topn,1.3137411004305848
UNSW,34,random,random_n,1.1836490670573914
UNSW,35,random,topn,1.2691909816038622
UNSW,35,random,random_n,1.195105996040415
UNSW,36,random,topn,1.2255529996735095
UNSW,36,random,random_n,1.0936956014400774
UNSW,37,random,topn,0.7102935903266409
UNSW,37,random,random_n,0.6934134113607969
UNSW,38,random,topn,1.0132831365251915
UNSW,38,random,random_n,1.1611204999003428
UNSW,39,random,topn,1.3000118691431801
UNSW,39,random,random_n,1.3431431085565257
UNSW,40,random,topn,0.6016334786676523
UNSW,40,random,random_n,0.7329357363325597
